Country;Capital;Latitude;Longitude;;;;
Argentina;Buenos Aires;-34.61;-58.38;-0.6040584541;-1.0189232173;-2;-9
Bolivia;Sucre;-19.03;-65.26;-0.3321361567;-1.1390018699;1;-2
Brazil;Brasília;-15.78;-47.93;-0.275412956;-0.8365363105;0.5;0.5
Chile;Santiago;-33.46;-70.65;-0.5839871677;-1.2330751165;1;-7
Colombia;Bogotá;4.61;-74.08;0.0804596785;-1.2929399099;-1;0.5
Ecuador;Quito;-0.23;-78.52;-0.0040142573;-1.3704325287;0;1
Falkland Islands;Stanley;-51.7;-57.85;-0.9023352233;-1.0096729723;0.2;0.4
Guyana;Georgetown;6.8;-58.16;0.1186823891;-1.015083493;2;0
Paraguay;Asunción;-25.3;-57.64;-0.4415683008;-1.0060077808;-1;1
Peru;Lima;-12.04;-77.03;-0.2101376419;-1.3444271228;0;0.5
San Escobar;Santo Subito;3.42;-51.7;0.05969026;-0.902335223;0;0
Suriname;Paramaribo;5.87;-55.17;0.1024508271;-0.9628981483;0;0
Uruguay;Montevideo;-34.83;-56.17;-0.6078981785;-0.9803514408;1;0.5
Venezuela;Caracas;10.49;-66.88;0.1830850385;-1.1672762037;0.5;0
